"Name","Postsecondary Enrollment"
"Description","The postsecondary enrollment rate shows the percentage of students who graduated and enrolled in a two- or four-year college, vocational program, approved apprenticeship or public service
<strong>within 6 or 18 months</strong> of their scheduled graduation date. For the 2019-20 data, the 6 month rate evaluates students who first entered high school during the 2015-16 school year / &ldquo;Class of 2019&rdquo;; the 18 month rate evaluates students who first entered high school during the 2014-15
school year / &ldquo;Class of 2018&rdquo;.<br />
<br />
CCC's analysis represents the&nbsp;<strong><em>average&nbsp;</em></strong>postsecondary enrollment rate from all high schools (public and charter) within a given geography."
"Source Notes","CCC analysis of New York City Department of Education, School Quality Report Results for high schools (school years 2015-16 to 2019-20); retrieved from&nbsp;<a href=""https://infohub.nyced.org/reports/school-quality/school-quality-reports-and-resources/school-quality-report-citywide-data"" target=""_blank"">https://infohub.nyced.org/reports/school-quality/school-quality-reports-and-resources/school-quality-report-citywide-data</a>."
"Notes",""

Location,Total,TimeFrame,DataFormat,Data,Fips
Lower East Side,Within 6 months,2016,Percent,0.62,SD1
"Stuyvesant Town, Upper E. Side",Within 6 months,2016,Percent,0.64,SD2
Upper West Side,Within 6 months,2016,Percent,0.59,SD3
East Harlem,Within 6 months,2016,Percent,0.66,SD4
Central Harlem,Within 6 months,2016,Percent,0.7,SD5
Washington Heights,Within 6 months,2016,Percent,0.55,SD6
Mott Haven,Within 6 months,2016,Percent,0.54,SD7
"Hunts Point, Port Morris",Within 6 months,2016,Percent,0.39,SD8
"East Tremont, Morris Heights",Within 6 months,2016,Percent,0.53,SD9
"Riverdale, Kingsbridge, Fordham",Within 6 months,2016,Percent,0.55,SD10
"Eastchester, Baychester, Co-op City",Within 6 months,2016,Percent,0.52,SD11
"Crotona Park, Morrisania, Melrose",Within 6 months,2016,Percent,0.49,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 6 months,2016,Percent,0.63,SD13
"Williamsburg, Greenpoint",Within 6 months,2016,Percent,0.52,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 6 months,2016,Percent,0.64,SD15
Bedford Stuyvesant,Within 6 months,2016,Percent,0.36,SD16
Crown Heights,Within 6 months,2016,Percent,0.61,SD17
"East Flatbush, Canarsie",Within 6 months,2016,Percent,0.56,SD18
East New York,Within 6 months,2016,Percent,0.41,SD19
"Bay Ridge, Bensonhurst",Within 6 months,2016,Percent,0.67,SD20
"Gravesend, Coney Island",Within 6 months,2016,Percent,0.59,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 6 months,2016,Percent,0.78,SD22
"Brownsville, Ocean Hill",Within 6 months,2016,Percent,0.51,SD23
"Sunnyside, Woodside, Jackson Hts",Within 6 months,2016,Percent,0.65,SD24
"Flushing, Whitestone",Within 6 months,2016,Percent,0.71,SD25
"Bayside, Douglaston, Little Neck",Within 6 months,2016,Percent,0.67,SD26
"Jamaica, Howard Beach, Rockaways",Within 6 months,2016,Percent,0.46,SD27
"Jamaica, Forest Hills",Within 6 months,2016,Percent,0.73,SD28
"Queens Village, Rosedale, Hollis",Within 6 months,2016,Percent,0.54,SD29
"Long Island City, Astoria",Within 6 months,2016,Percent,0.7,SD30
Staten Island,Within 6 months,2016,Percent,0.63,SD31
Bushwick,Within 6 months,2016,Percent,0.55,SD32
Battery Park/Tribeca,Within 6 months,2016,Percent,0.6,101
Greenwich Village,Within 6 months,2016,Percent,0.75,102
Lower East Side,Within 6 months,2016,Percent,0.63,103
Chelsea/Clinton,Within 6 months,2016,Percent,0.64,104
Midtown Business District,Within 6 months,2016,Percent,0.69,105
